x,y
3.053439757,0.7593435073
3.518983677,1.903321371
1.916699655,4.105097007
3.643417183,0.8568218967
4.4364234,1.649876407
0.2792416063,4.832359935
0.6910817128,4.031462983
4.315324894,1.11093965
2.108732413,4.998865613
2.056570873,0.3186934873
4.795706703,2.12741559
3.751226465,2.02169076
4.904985571,2.001464419
1.167579028,0.5596132195
0.481133806,2.121553866
1.922910996,3.067729413
2.501362755,4.940306429
2.851279344,1.099503894
4.883157984,1.77040539
2.464275905,1.331209396
2.004414332,1.45749017
4.974951309,0.9419477076
1.304990042,0.1142981181
3.326623554,2.24702091
4.821283081,1.218200967
3.355755182,4.343632724
1.495874282,2.643053837
2.655632634,4.570675841
0.007315875862,4.869650885
4.418944047,2.927129793
2.021919287,0.5948769134
1.506027933,4.632662945
4.752907957,2.967803862
2.303240966,4.418076525
1.438237555,2.122379655
0.4231331929,3.036286929
2.910906676,0.3538179124
0.7653434872,4.623862156
0.3654715308,3.210397081
2.902823884,0.5224983395
1.435073762,3.501125368
1.809600422,1.979021644
3.624123469,0.4245237539
4.291558391,1.072394338
1.739578433,1.243994488
4.808728027,1.133265687
4.767845258,3.515021955
1.030186884,3.770762926
3.841224295,2.736433169
3.077659399,2.7674171
4.594612437,3.152863959
3.012686306,4.927284753
3.510691142,3.171391015
3.718374776,3.002278063
1.925511384,4.545934785
1.257518946,2.854183169
0.1837986871,1.677099606
2.360614371,4.785695792
3.225361642,2.199615611
1.394849702,3.007712968
2.589304549,3.601311808
1.228333193,3.393891708
1.487540872,1.063795051
3.252370466,0.4081168752
4.456966528,1.372397039
4.305532334,4.337591932
1.049575384,2.796785337
1.995469558,2.323138855
4.439415117,2.151504504
1.28264006,3.8699296
4.834008022,3.269602106
3.095786765,3.288646358
0.8267288327,0.8051045229
4.130995144,2.161884135
3.278465506,2.525430422
2.73226292,1.876661405
1.256646417,2.40186114
0.2007819228,1.712107014
1.166877063,3.885732201
1.805564681,1.919719312
3.167275175,3.557782135
4.930490481,2.404667037
1.035783231,3.645901111
3.785419708,4.687796195
4.431640548,2.586272013
2.361149297,4.515343743
0.7945676304,1.090963211
4.054603928,4.366096701
2.382538764,0.4134646597
0.5814376612,2.327017083
4.378603064,0.109649114
3.175931897,4.04140275
0.4864067455,0.896047504
4.542197281,0.8269612343
0.1750801076,0.9080173358
0.1987484706,3.457182817
4.942839456,1.068817596
3.430907992,1.490524299
1.883445964,3.841675735
2.521621264,2.505750473
3.817478396,4.547324033
0.2443739839,0.2892645154
7.028631749,8.034864617
7.502891609,7.533120993
7.477735059,7.390902676
8.383357985,7.96904417
5.941345896,5.517601092
6.550408721,8.238805226
5.507427087,8.744008507
8.828875753,5.529034801
8.182047772,8.386199199
8.129564568,8.185675538
5.98602693,8.989979134
6.722618399,6.296785752
6.029691962,8.718397722
7.238522374,7.746997569
8.330282885,5.86862064
7.715040777,6.438563198
7.909405242,8.173453176
7.738495762,8.319285545
8.052626042,5.864885492
8.509459978,7.144155717
7.694343828,6.266716618
6.132069805,8.729477673
7.506572912,6.621129212
6.072481547,8.501403331
8.671181075,6.409463337
5.770699748,8.573220299
6.684871275,6.158936659
7.532161416,8.157178431
7.163323051,5.61091255
8.318621702,7.74818705
7.357723493,7.484048195
6.295586161,6.817433409
7.983197413,6.243919328
6.020213936,8.272548938
7.803406634,6.00905218
7.718938918,7.211998576
6.30257188,5.544960114
6.137798053,6.153142087
6.082233777,7.198306599
6.023624821,8.433791268
6.209615892,5.99369939
8.842356156,8.062759456
5.555679186,7.918734206
8.851300226,5.620724169
5.589922999,7.211000423
8.898887321,8.899866436
6.541584869,5.893579828
7.337755777,8.10124821
8.51818724,7.7348948
8.637417162,7.579640195
6.161536944,7.245178795
7.812518451,7.487484308
8.794308283,6.99276488
8.91497494,5.766838048
5.877773386,6.517053287
6.126147298,7.464672666
8.112929995,7.716667139
5.673139829,8.757715507
5.749497087,8.922192052
7.211939318,5.827587911
8.474628374,7.816072305
8.989645054,7.609705148
5.515374144,7.158362521
7.399126124,6.746897199
8.514718617,7.164524546
8.681986586,7.848577064
8.458726968,8.858758189
8.576055096,5.811794929
8.111637832,8.292098609
5.911212831,7.567715111
7.281577899,8.69268864
6.090911174,5.853952616
8.408890261,6.52653125
8.748037999,5.680558719
6.093195501,7.264448632
8.59308062,8.189315132
6.857520131,6.490448817
6.838993111,6.28876086
6.450085234,6.659513749
8.537591,7.08637973
8.0952586,8.080846234
7.067554555,7.284599791
7.983736002,6.838799671
8.80515949,8.669191259
6.109412557,8.878402121
6.356086994,7.698935734
7.743251935,5.962109095
8.330143785,7.664056224
8.486798523,6.840570364
6.893411764,8.969178116
5.904228331,6.503895497
5.780983331,7.971670004
6.76163667,7.373220641
6.245576186,6.724328144
7.328101736,6.229828309
7.449733904,6.757472865
8.019305442,5.810983613
5.886428171,6.695869513
6.258265817,7.420347079
8.338570755,7.111916114
5.98531659,7.759083307
8.586647203,7.297322944
8.732446216,8.35049264
5.54464447,5.840141221
6.820057386,7.122997462
6.087340911,7.564361214
7.390779785,6.155102247
5.855818522,7.639655513
5.637437111,5.681796935
8.766301891,7.51504432
8.90057159,8.448206456
6.76324807,7.249040908
7.754718913,7.036587107
5.737815557,6.021699791
6.227691987,5.598978078
5.638613464,8.148344258
7.142757596,8.286371826
6.025338529,6.52744458
8.969574224,5.903223611
6.994718217,6.812820708
8.84380236,8.401128108
0.4797250091,1.130227187
0.3008270823,1.805033481
4.097544375,1.622810064
3.857391524,0.4179105683
0.9784786551,2.563327668
4.475590773,4.164324124
3.421500731,4.523067493
3.284232406,3.617979561
4.951906007,1.914979122
0.1684589656,1.49008528
2.121266352,3.458558179
